Aa en Hunze,25183
Aalburg,12915
Aalsmeer,31070
Aalten,26914
Achtkarspelen,27980
Alblasserdam,19860
Albrandswaard,25152
Alkmaar,95304
Almelo,72309
Almere,196899
Alphen aan den Rijn,107396
Alphen-Chaam,9769
Ameland,3608
Amersfoort,152364
Amstelveen,87126
Amsterdam,821702
Apeldoorn,158035
Appingedam,11999
Arnhem,152335
Assen,67180
Asten,16549
Baarle-Nassau,6604
Baarn,24382
Barendrecht,47535
Barneveld,54643
Bedum,10451
Beek (L.),16231
Beemster,8885
Beesel,13520
Bellingwedde,9137
Bergambacht,10068
Bergeijk,18221
Bergen (L.),13160
Bergen (NH.),29965
Bergen op Zoom,66303
Berkelland,44397
Bernheze,29754
Bernisse,12287
Best,28720
Beuningen,25274
Beverwijk,40124
het Bildt,10625
De Bilt,42111
Binnenmaas,28680
Bladel,19875
Blaricum,9290
Bloemendaal,22237
Bodegraven-Reeuwijk,33159
Boekel,10122
Ten Boer,7449
Borger-Odoorn,25492
Borne,21966
Borsele,22575
Boxmeer,28271
Boxtel,30309
Breda,181427
Brielle,16475
Bronckhorst,36715
Brummen,20995
Brunssum,28680
Bunnik,14664
Bunschoten,20648
Buren,26106
Bussum,32859
Capelle aan den IJssel,66416
Castricum,34339
Coevorden,35535
Cranendonck,20523
Cromstrijen,12784
Cuijk,24677
Culemborg,27531
Dalfsen,27635
Dantumadiel,19046
Delft,100967
Delfzijl,25465
Deurne,31765
Deventer,98599
Diemen,26646
Dinkelland,25952
Doesburg,11362
Doetinchem,56489
Dongen,25403
Dongeradeel,23982
Dordrecht,119076
Drechterland,19280
Drimmelen,26702
Dronten,40370
Druten,18275
Duiven,25546
Echt-Susteren,31971
Edam-Volendam,29079
Ede,111528
Eemnes,8794
Eemsmond,15761
Eersel,18325
Eijsden-Margraten,24929
Eindhoven,223272
Elburg,22837
Emmen,107789
Enkhuizen,18327
Enschede,158671
Epe,32211
Ermelo,26207
Etten-Leur,42559
Ferwerderadiel,8719
Franekeradeel,20348
De Friese Meren,51295
Geertruidenberg,21563
Geldermalsen,26333
Geldrop-Mierlo,38891
Gemert-Bakel,29507
Gennep,17252
Giessenlanden,14431
Gilze en Rijen,26110
Goeree-Overflakkee,48207
Goes,37127
Goirle,23008
Gorinchem,35349
Gouda,71089
Graft-De Rijp,6399
Grave,12826
's-Gravenhage (gemeente),514782
Groesbeek,18968
Groningen (gemeente),200674
Grootegast,12121
Gulpen-Wittem,14473
Haaksbergen,24334
Haaren,13520
Haarlem,156593
Haarlemmerliede en Spaarnwoude,5578
Haarlemmermeer,144153
Halderberge,29482
Hardenberg,59560
Harderwijk,45774
Hardinxveld-Giessendam,17826
Haren,18880
Harlingen,15802
Hattem,11847
Heemskerk,39101
Heemstede,26463
Heerde,18495
Heerenveen,50108
Heerhugowaard,53558
Heerlen,87630
Heeze-Leende,15486
Heiloo,22528
Den Helder,56406
Hellendoorn,35615
Hellevoetsluis,38855
Helmond,89719
Hendrik-Ido-Ambacht,29135
Hengelo (O.),81071
's-Hertogenbosch,144233
Heumen,16417
Heusden,43183
Hillegom,21107
Hilvarenbeek,15049
Hilversum,87155
Hof van Twente,34920
Hollands Kroon,47491
Hoogeveen,54875
Hoogezand-Sappemeer,34321
Hoorn,71906
Horst aan de Maas,41668
Houten,48607
Huizen,41339
Hulst,27370
IJsselstein,34047
Kaag en Braassem,25822
Kampen,51386
Kapelle,12533
Katwijk,63530
Kerkrade,46491
Koggenland,22423
Kollumerland en Nieuwkruisland,12827
Korendijk,10750
Krimpen aan den IJssel,28967
Laarbeek,21915
Landerd,15293
Landgraaf,37475
Landsmeer,10845
Langedijk,27288
Lansingerland,58017
Laren (NH.),10865
Leek,19524
Leerdam,20565
Leeuwarden,107895
Leeuwarderadeel,10222
Leiden,121776
Leiderdorp,26827
Leidschendam-Voorburg,73963
Lelystad,76224
Leudal,36252
Leusden,29038
Lingewaal,11086
Lingewaard,45740
Lisse,22551
Littenseradiel,10898
Lochem,33219
Loon op Zand,22985
Lopik,14088
Loppersum,10151
Losser,22485
Maasdonk,11353
Maasdriel,24214
Maasgouw,23821
Maassluis,32210
Maastricht,122747
De Marne,10149
Marum,10298
Medemblik,43605
Meerssen,19080
Menameradiel,13637
Menterwolde,12206
Meppel,32823
Middelburg (Z.),47618
Midden-Delfland,18719
Midden-Drenthe,33301
Mill en Sint Hubert,10831
Millingen aan de Rijn,5875
Moerdijk,36813
Molenwaard,28957
Montferland,35141
Montfoort,13674
Mook en Middelaar,7736
Muiden,6250
Naarden,17173
Neder-Betuwe,22685
Nederlek,14150
Nederweert,16790
Neerijnen,12053
Nieuwegein,61270
Nieuwkoop,27112
Nijkerk,40784
Nijmegen,170582
Noord-Beveland,7453
Noordenveld,31137
Noordoostpolder,46424
Noordwijk,25625
Noordwijkerhout,16022
Nuenen Gerwen en Nederwetten,22586
Nunspeet,26728
Nuth,15502
Oegstgeest,23013
Oirschot,18085
Oisterwijk,25751
Oldambt,38448
Oldebroek,22973
Oldenzaal,32091
Olst-Wijhe,17820
Ommen,17348
Onderbanken,7878
Oost Gelre,29534
Oosterhout,53774
Ooststellingwerf,25653
Oostzaan,9181
Opmeer,11311
Opsterland,29851
Oss,85151
Oud-Beijerland,23688
Oude IJsselstreek,39572
Ouder-Amstel,13304
Ouderkerk,8260
Oudewater,9919
Overbetuwe,46827
Papendrecht,32188
Peel en Maas,43454
Pekela,12738
Pijnacker-Nootdorp,51196
Purmerend,79593
Putten,24316
Raalte,36573
Reimerswaal,22041
Renkum,31442
Renswoude,4989
Reusel-De Mierden,12783
Rheden,43625
Rhenen,19273
Ridderkerk,45165
Rijnwaarden,10941
Rijssen-Holten,37795
Rijswijk (ZH.),48161
Roerdalen,20730
Roermond,57034
De Ronde Venen,42593
Roosendaal,76897
Rotterdam,624799
Rozendaal,1508
Rucphen,22228
Schagen,46113
Schermer,5449
Scherpenzeel,9513
Schiedam,76975
Schiermonnikoog,927
Schijndel,23539
Schinnen,12992
Schoonhoven,11915
Schouwen-Duiveland,33808
Simpelveld,10849
Sint Anthonis,11606
Sint-Michielsgestel,28390
Sint-Oedenrode,17916
Sittard-Geleen,93744
Sliedrecht,24756
Slochteren,15562
Sluis,23753
Smallingerland,55647
Soest,45462
Someren,18705
Son en Breugel,16313
Spijkenisse,72690
Stadskanaal,32658
Staphorst,16437
Stede Broec,21498
Steenbergen,23638
Steenwijkerland,43237
Stein (L.),25135
Stichtse Vecht,63936
Strijen,8697
Súdwest-Fryslân,84106
Terneuzen,54587
Terschelling,4840
Texel,13591
Teylingen,35675
Tholen,25423
Tiel,41627
Tilburg,211633
Tubbergen,21137
Twenterand,33876
Tynaarlo,32564
Tytsjerksteradiel,31951
Ubbergen,9431
Uden,41113
Uitgeest,13304
Uithoorn,28690
Urk,19685
Utrecht (gemeente),334160
Utrechtse Heuvelrug,48137
Vaals,9680
Valkenburg aan de Geul,16602
Valkenswaard,30244
Veendam,27701
Veenendaal,63464
Veere,21911
Veghel,37800
Veldhoven,44135
Velsen,67214
Venlo,100525
Venray,43186
Vianen,19631
Vlaardingen,71655
Vlagtwedde,16206
Vlieland,1112
Vlissingen,44568
Vlist,9745
Voerendaal,12388
Voorschoten,25131
Voorst,23948
Vught,25767
Waalre,16902
Waalwijk,46679
Waddinxveen,25641
Wageningen,37887
Wassenaar,25818
Waterland,17137
Weert,48898
Weesp,18336
Werkendam,26448
West Maas en Waal,18531
Westerveld,18980
Westervoort,15007
Westland,104371
Weststellingwerf,25542
Westvoorne,14064
Wierden,23890
Wijchen,40907
Wijdemeren,23185
Wijk bij Duurstede,23194
Winsum,13768
Winterswijk,29020
Woensdrecht,21632
Woerden,50636
De Wolden,23618
Wormerland,15756
Woudenberg,12482
Woudrichem,14397
Zaanstad,151422
Zaltbommel,27336
Zandvoort,16651
Zederik,13702
Zeevang,6325
Zeewolde,21594
Zeist,61685
Zevenaar,32256
Zoetermeer,124042
Zoeterwoude,8121
Zuidhorn,18726
Zuidplas,40768
Zundert,21422
Zutphen,46841
Zwartewaterland,22157
Zwijndrecht,44502
Zwolle,123936
