"Onderwerpen";"Begindatum";"Einddatum";"Gebieds- of gemeentecode";"Provincie";"Provincie (afkorting)";"Begindatum (sorteerveld)";"Einddatum (sorteerveld)"
"Aa en Hunze";"01 jan 1998";"";"GM1680";"Drenthe";"D.";"19980101";""
"Aagtekerke";"01 jan 1830";"01 jul 1966";"GM1000";"Zeeland";"Z.";"18300101";"19660701"
"Aalburg";"01 jan 1973";"";"GM0738";"Noord-Brabant";"NB.";"19730101";""
"Aalsmeer";"01 jan 1830";"";"GM0358";"Noord-Holland";"NH.";"18300101";""
"Aalst";"01 jan 1830";"01 jan 1923";"GM1001";"Noord-Brabant";"NB.";"18300101";"19230101"
"Aalten";"01 jan 1830";"";"GM0197";"Gelderland";"Gld.";"18300101";""
"Ter Aar";"01 jan 1830";"01 jan 2007";"GM0480";"Zuid-Holland";"ZH.";"18300101";"20070101"
"Aardenburg";"01 jan 1830";"01 jan 1995";"GM0648";"Zeeland";"Z.";"18300101";"19950101"
"Aarlanderveen";"01 jan 1830";"01 jan 1918";"GM1002";"Zuid-Holland";"ZH.";"18300101";"19180101"
"Aarle-Rixtel";"01 jan 1830";"01 jan 1997";"GM0739";"Noord-Brabant";"NB.";"18300101";"19970101"
"Abbekerk";"01 jan 1830";"01 jan 1979";"GM0359";"Noord-Holland";"NH.";"18300101";"19790101"
"Abbenbroek";"01 jan 1830";"01 jan 1980";"GM0481";"Zuid-Holland";"ZH.";"18300101";"19800101"
"Abcoude";"01 mei 1941";"01 jan 2011";"GM0305";"Utrecht";"U.";"19410501";"20110101"
"Abcoude-Baambrugge";"01 jan 1830";"01 mei 1941";"GM1003";"Utrecht";"U.";"18300101";"19410501"
"Abcoude-Proosdij";"01 jan 1830";"01 mei 1941";"GM1004";"Utrecht";"U.";"18300101";"19410501"
"Abtsregt";"01 jan 1830";"01 sep 1855";"GM1301";"Zuid-Holland";"ZH.";"18300101";"18550901"
"Achthoven";"01 jan 1830";"13 jun 1857";"GM1302";"Utrecht";"U.";"18300101";"18570613"
"Achtkarspelen";"01 jan 1830";"";"GM0059";"Friesland";"F.";"18300101";""
"Achttienhoven (U.)";"01 jan 1830";"01 jan 1954";"GM1005";"Utrecht";"U.";"18300101";"19540101"
"Achttienhoven (ZH.)";"01 jan 1830";"11 jul 1855";"GM1303";"Zuid-Holland";"ZH.";"18300101";"18550711"
"Ackersdijk en Vrouwenregt";"01 jan 1830";"01 sep 1855";"GM1304";"Zuid-Holland";"ZH.";"18300101";"18550901"
"Adorp";"01 jan 1830";"01 jan 1990";"GM0001";"Groningen";"Gr.";"18300101";"19900101"
"Aduard";"01 jan 1830";"01 jan 1990";"GM0002";"Groningen";"Gr.";"18300101";"19900101"
"Aengwirden";"01 jan 1830";"01 jul 1934";"GM1006";"Friesland";"F.";"18300101";"19340701"
"Akersloot";"01 jan 1830";"01 jan 2002";"GM0360";"Noord-Holland";"NH.";"18300101";"20020101"
"Alblasserdam";"01 jan 1830";"";"GM0482";"Zuid-Holland";"ZH.";"18300101";""
"Albrandswaard";"01 jan 1985";"";"GM0613";"Zuid-Holland";"ZH.";"19850101";""
"Albrandswaard (oud)";"01 jan 1830";"21 aug 1841";"GM0477";"Zuid-Holland";"ZH.";"18300101";"18410821"
"Alem, Maren en Kessel";"01 jan 1830";"01 jan 1958";"GM1007";"Noord-Brabant";"NB.";"18300101";"19580101"
"Alkemade";"01 jan 1830";"01 jan 2009";"GM0483";"Zuid-Holland";"ZH.";"18300101";"20090101"
"Alkmaar";"01 jan 1830";"";"GM0361";"Noord-Holland";"NH.";"18300101";""
"Almelo";"01 dec 1913";"";"GM0141";"Overijssel";"O.";"19131201";""
"Almere";"01 jan 1984";"";"GM0034";"Flevoland";"Fle.";"19840101";""
"Almkerk";"01 jan 1830";"01 jan 1973";"GM0740";"Noord-Brabant";"NB.";"18300101";"19730101"
"Alphen";"01 jan 1830";"01 jan 1918";"GM1008";"Zuid-Holland";"ZH.";"18300101";"19180101"
"Alphen aan den Rijn";"01 jan 1918";"";"GM0484";"Zuid-Holland";"ZH.";"19180101";""
"Alphen en Riel";"01 jan 1830";"01 jan 1997";"GM0741";"Noord-Brabant";"NB.";"18300101";"19970101"
"Alphen-Chaam";"01 jan 1997";"";"GM1723";"Noord-Brabant";"NB.";"19970101";""
"Ambt Delden";"01 jan 1830";"01 jan 2001";"GM0142";"Overijssel";"O.";"18300101";"20010101"
